City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,cherskiy,68.75,161.3,239.37,96,100,2.46,RU,1675822196
85,chokurdakh,70.6333,147.9167,235.0,99,100,1.62,RU,1675822155
86,la palma,33.8464,-118.0467,291.64,51,0,0.45,US,1675822659
87,bluff,-46.6,168.3333,286.93,61,62,11.74,NZ,1675822152
88,cockburn town,21.4612,-71.1419,298.65,74,0,10.39,TC,1675822540
89,georgetown,5.4112,100.3354,301.11,86,20,3.6,MY,1675821872
90,saint-denis,48.9167,2.3333,273.79,83,0,3.09,FR,1675822659
91,erenhot,43.6475,111.9767,264.83,58,100,1.64,CN,1675822491
92,altamont,42.2068,-121.7372,279.06,61,75,4.63,US,1675822660
93,bandarbeyla,9.4942,50.8122,298.12,75,98,6.98,SO,1675822660
94,shambu,9.5667,37.1,284.04,44,62,0.87,ET,1675822661
95,coihaique,-45.5752,-72.0662,290.12,67,75,1.03,CL,1675822273
96,hobart,-42.8794,147.3294,290.52,68,75,6.69,AU,1675822087
97,ribeira grande,38.5167,-28.7,286.36,64,9,3.13,PT,1675822165
98,provideniya,64.3833,-173.3,254.21,65,100,3.0,RU,1675822174
99,marsabit,2.3284,37.9899,292.86,43,2,2.25,KE,1675822610
100,ulety,51.3572,112.4849,259.48,82,48,1.41,RU,1675822662
101,beloha,-25.1667,45.05,296.24,79,100,3.44,MG,1675822608
102,sao filipe,14.8961,-24.4956,293.22,69,18,4.82,CV,1675822299
103,camacupa,-12.0167,17.4833,289.06,82,100,0.64,AO,1675822662
104,mahebourg,-20.4081,57.7,299.31,83,40,5.14,MU,1675822172
105,lebu,-37.6167,-73.65,288.12,88,0,7.74,CL,1675822149
106,dikson,73.5069,80.5464,250.78,90,100,9.73,RU,1675822164
107,mayo,38.8876,-76.5119,282.18,80,20,3.09,US,1675822663
108,mokolo,10.7398,13.8019,293.28,22,88,3.02,CM,1675822663
109,daru,-9.0763,143.2092,302.42,70,99,5.17,PG,1675822664
110,ibra,22.6906,58.5334,291.0,58,35,0.67,OM,1675822664
111,upernavik,72.7868,-56.1549,243.06,96,48,1.79,GL,1675822179
112,cape town,-33.9258,18.4232,294.21,73,0,6.26,ZA,1675822255
113,thompson,55.7435,-97.8558,257.24,85,100,1.54,CA,1675821867
114,san patricio,28.017,-97.5169,296.12,80,94,6.22,US,1675822154
115,souillac,-20.5167,57.5167,299.36,83,40,5.14,MU,1675822244
116,sambava,-14.2667,50.1667,296.64,89,83,3.16,MG,1675822665
117,acapulco,16.8634,-99.8901,300.05,69,20,3.6,MX,1675822243
118,sibolga,1.7427,98.7792,300.01,60,100,0.62,ID,1675822216
119,tuktoyaktuk,69.4541,-133.0374,243.65,94,100,1.79,CA,1675822171
120,ojinaga,29.5667,-104.4167,285.68,47,0,9.26,MX,1675822591
121,flin flon,54.7682,-101.865,270.86,83,19,4.42,CA,1675822564
122,praia da vitoria,38.7333,-27.0667,285.79,77,100,5.07,PT,1675822349
123,saurimo,-9.6608,20.3916,290.31,96,100,1.67,AO,1675822414
124,ostrovnoy,68.0531,39.5131,272.86,75,3,11.13,RU,1675822198
125,monaghan,54.25,-6.9667,279.48,97,93,4.41,IE,1675822667
126,burnie,-41.0667,145.9167,289.78,74,99,3.84,AU,1675822485
127,wanning,18.8003,110.3967,297.81,81,24,3.51,CN,1675822347
128,hilo,19.7297,-155.09,298.31,89,100,5.66,US,1675822087
129,tommot,58.9564,126.2925,245.16,95,100,0.81,RU,1675822204
130,itarema,-2.9248,-39.9167,298.62,82,100,3.94,BR,1675822244
131,russell,32.3502,-85.1999,290.72,82,0,1.54,US,1675822260
132,gold coast,-28.0,153.4333,304.14,57,40,6.17,AU,1675822590
133,narsaq,60.9167,-46.05,253.27,63,0,3.6,GL,1675822150
134,quatre cocos,-20.2078,57.7625,299.21,81,41,6.63,MU,1675822209
135,darjiu,46.2,25.2,258.52,98,59,1.3,RO,1675822669
136,bethel,41.3712,-73.414,276.35,78,100,1.54,US,1675822129
137,maragogi,-9.0122,-35.2225,298.05,71,100,2.75,BR,1675822240
138,korla,41.7597,86.1469,271.61,85,14,0.89,CN,1675822296
139,whitianga,-36.8333,175.7,296.02,57,91,4.78,NZ,1675822302
140,polson,47.6936,-114.1632,277.31,94,100,1.57,US,1675822439
141,vaini,-21.2,-175.2,302.24,79,75,3.09,TO,1675822182
142,dingle,10.9995,122.6711,299.79,78,100,5.64,PH,1675822358
143,bengkulu,-3.8004,102.2655,300.46,63,74,2.39,ID,1675822314
144,hasaki,35.7333,140.8333,282.37,68,100,9.42,JP,1675821878
145,itabira,-19.6192,-43.2269,292.72,96,100,0.43,BR,1675822670
146,camargo,27.6667,-105.1667,290.95,19,82,3.27,MX,1675822415
147,ilulissat,69.2167,-51.1,246.16,76,75,3.09,GL,1675822066
148,livani,56.3543,26.1758,267.94,93,99,3.15,LV,1675822671
149,clyde river,70.4692,-68.5914,238.06,98,93,1.35,CA,1675822221
150,port moresby,-9.4431,147.1797,298.45,87,100,5.39,PG,1675822235
151,praia,14.9215,-23.5087,293.45,60,75,9.26,CV,1675822543
152,kavaratti,10.5669,72.642,299.67,71,97,5.15,IN,1675822306
153,motygino,58.1831,94.7592,260.4,97,100,1.02,RU,1675822672
154,tuatapere,-46.1333,167.6833,286.63,58,67,6.89,NZ,1675822129
155,obera,-27.4871,-55.1199,298.39,36,54,0.82,AR,1675822673
156,saldanha,-33.0117,17.9442,290.94,89,0,5.9,ZA,1675822108
157,port elizabeth,-33.918,25.5701,293.32,93,100,1.34,ZA,1675822166
158,mahibadhoo,3.7833,72.9667,300.1,67,66,2.51,MV,1675822380
159,carnarvon,-24.8667,113.6333,301.95,52,0,7.04,AU,1675822166
160,saint helens,53.45,-2.7333,278.92,90,100,1.54,GB,1675822673
161,luanda,-8.8368,13.2343,298.05,79,100,4.11,AO,1675822550
162,bredasdorp,-34.5322,20.0403,291.69,79,11,3.16,ZA,1675822189
163,progreso,21.2833,-89.6667,298.21,63,7,5.47,MX,1675822162
164,saint george,37.1041,-113.5841,282.56,42,0,3.09,US,1675822041
165,sao joao da barra,-21.6403,-41.0511,296.86,92,100,2.41,BR,1675822300
166,faanui,-16.4833,-151.75,300.43,73,24,5.43,PF,1675822224
167,tukrah,32.5341,20.5791,284.26,65,99,3.99,LY,1675822674
168,paragominas,-2.9667,-47.4833,295.45,98,100,1.38,BR,1675822675
169,lorengau,-2.0226,147.2712,298.65,95,100,6.99,PG,1675822241
170,rio grande,-32.035,-52.0986,296.49,72,0,6.33,BR,1675822280
171,arraial do cabo,-22.9661,-42.0278,297.13,91,100,1.96,BR,1675822161
172,nyrob,60.733,56.7202,258.61,97,100,3.31,RU,1675822676
173,pastavy,55.1168,26.8326,265.76,97,99,2.55,BY,1675822676
174,chimbote,-9.0853,-78.5783,295.32,81,4,2.71,PE,1675822676
175,hami,42.8,93.45,274.25,62,100,0.99,CN,1675822260
176,fayaoue,-20.65,166.5333,298.33,89,100,11.1,NC,1675822677
177,sakakah,29.9697,40.2064,280.02,66,4,6.57,SA,1675822091
178,hamilton,39.1834,-84.5333,284.95,91,100,3.6,US,1675822359
179,turayf,31.6725,38.6637,276.29,93,75,7.2,SA,1675822677
180,necochea,-38.5473,-58.7368,294.83,81,18,6.46,AR,1675822178
181,nara,34.6851,135.8049,282.77,54,29,4.41,JP,1675822677
182,te anau,-45.4167,167.7167,287.54,46,50,5.28,NZ,1675822371
183,santo angelo,-28.2992,-54.2631,295.33,34,0,2.52,BR,1675822447
184,fairbanks,64.8378,-147.7164,259.04,80,100,0.0,US,1675822292
185,castro,-24.7911,-50.0119,289.92,93,62,2.36,BR,1675822182
186,krasnoselkup,65.7,82.4667,243.97,100,100,3.19,RU,1675822192
187,san cristobal,7.7669,-72.225,294.25,78,12,0.74,VE,1675822156
188,santa maria,-29.6842,-53.8069,296.5,50,0,3.26,BR,1675822285
189,srednekolymsk,67.45,153.6833,240.25,96,100,2.39,RU,1675822287
190,blagoyevo,63.3667,47.9167,269.8,93,100,4.4,RU,1675822679
191,sibu,2.3,111.8167,301.32,83,40,1.54,MY,1675822679
192,mount gambier,-37.8333,140.7667,295.63,44,18,4.76,AU,1675822284
193,carauari,-4.8828,-66.8958,296.29,98,93,0.76,BR,1675822679
194,san borja,-14.8167,-66.85,295.53,99,100,0.85,BO,1675822680
195,roros,62.5747,11.3842,262.06,92,75,1.03,NO,1675822680
196,airai,-8.9266,125.4092,294.28,78,77,1.4,TL,1675822227
197,ahipara,-35.1667,173.1667,295.57,54,39,3.79,NZ,1675822298
